city,label,value,n_value
Amsterdam,5.000,-3.0704617376294707,129673
Amsterdam,10.000,-4.990415976279761,129673
Amsterdam,15.000,-4.44533133716808,129673
Amsterdam,20.000,-2.8004288910989383,129673
Amsterdam,25.000,-2.493717773334736,129673
Amsterdam,30.000,0.08306655954515296,129673
Amsterdam,35.000,5.410545513495979,129673
Amsterdam,40.000,7.606296547054825,129673
Amsterdam,42.195,5.796686729899658,129673
Auckland,5.000,-4.7488973794347356,5536
Auckland,10.000,-6.265754054830125,5536
Auckland,15.000,-6.282276269886349,5536
Auckland,20.000,-3.7814903020910338,5536
Auckland,25.000,-1.4856930827024217,5536
Auckland,30.000,2.858941196864462,5536
Auckland,35.000,6.2940840817380606,5536
Auckland,40.000,9.345692409703798,5536
Auckland,42.195,4.154162713884646,5536
Austin,5.000,-6.400609005905511,7621
Austin,10.000,-10.40634882491469,7621
Austin,15.000,-5.06554956750146,7621
Austin,20.000,-3.1933579058221695,7621
Austin,25.000,0.016228939544116194,7621
Austin,30.000,2.4921950860673725,7621
Austin,35.000,5.184221207508877,7621
Austin,40.000,10.049649517259617,7621
Austin,42.195,8.098605155631034,7621
Barcelona,5.000,0.909440171262621,50206
Barcelona,10.000,-4.0014751278320215,50206
Barcelona,15.000,-3.386786790647406,50206
Barcelona,20.000,-3.723798712962356,50206
Barcelona,25.000,-2.7761053616440767,50206
Barcelona,30.000,-0.10474085286439894,50206
Barcelona,35.000,2.5184426914761304,50206
Barcelona,40.000,6.933511717516783,50206
Barcelona,42.195,2.5718095426680465,50206
Berlin,5.000,-4.69475751139451,719320
Berlin,10.000,-3.920417765737516,719320
Berlin,15.000,-4.19277288569207,719320
Berlin,20.000,-2.912023117512763,719320
Berlin,25.000,-0.7437288898896721,719320
Berlin,30.000,1.5008334530823397,719320
Berlin,35.000,3.186381223955148,719320
Berlin,40.000,8.073193459117022,719320
Berlin,42.195,3.382667509469206,719320
Boston,5.000,-5.19148148148148,183814
Boston,10.000,-5.2123984325614545,183814
Boston,15.000,-4.323718425981621,183814
Boston,20.000,-2.361616552275075,183814
Boston,25.000,-1.4097596153846037,183814
Boston,30.000,2.8778036730975343,183814
Boston,35.000,6.376794449491808,183814
Boston,40.000,5.229744768533062,183814
Boston,42.195,4.124674780252313,183814
Chicago,5.000,-5.460450841732717,274448
Chicago,10.000,-4.821111399636447,274448
Chicago,15.000,-5.544549107600144,274448
Chicago,20.000,-3.4571539112887573,274448
Chicago,25.000,-1.2468322228952222,274448
Chicago,30.000,1.0946498599439858,274448
Chicago,35.000,5.0248084683314875,274448
Chicago,40.000,10.209277141958474,274448
Chicago,42.195,3.226603213776902,274448
Copenhagen,5.000,-4.022532822757108,125695
Copenhagen,10.000,-4.086742730953253,125695
Copenhagen,15.000,-3.9866539488744746,125695
Copenhagen,20.000,-3.0466049600791356,125695
Copenhagen,25.000,-1.5294356326078895,125695
Copenhagen,30.000,0.4357041251777938,125695
Copenhagen,35.000,4.188314809252036,125695
Copenhagen,40.000,8.401691534938681,125695
Copenhagen,42.195,4.437896454472678,125695
Dubai,5.000,-6.13563427976035,11885
Dubai,10.000,-6.731717603558829,11885
Dubai,15.000,-6.419545163356821,11885
Dubai,20.000,-4.737594309118354,11885
Dubai,25.000,-1.885057471264362,11885
Dubai,30.000,1.1969845722300088,11885
Dubai,35.000,7.299416264090186,11885
Dubai,40.000,12.01127078960116,11885
Dubai,42.195,7.087380210970529,11885
Eindhoven,5.000,-3.8514947295662627,24753
Eindhoven,10.000,-3.145590994371472,24753
Eindhoven,15.000,-3.2074866310160544,24753
Eindhoven,20.000,-3.271777890983185,24753
Eindhoven,25.000,-1.4840069384215115,24753
Eindhoven,30.000,0.09843463452974266,24753
Eindhoven,35.000,4.061029411764716,24753
Eindhoven,40.000,7.617912867274579,24753
Eindhoven,42.195,3.7948756565447495,24753
Frankfurt,5.000,-7.1807704452162895,6729
Frankfurt,10.000,-6.1615364982133825,6729
Frankfurt,15.000,-7.601771653543299,6729
Frankfurt,20.000,-4.1607013815090355,6729
Frankfurt,25.000,-2.3001677852348967,6729
Frankfurt,30.000,1.3499425067075466,6729
Frankfurt,35.000,9.327113356113514,6729
Frankfurt,40.000,11.076241721854284,6729
Frankfurt,42.195,5.2587371479281275,6729
Gold Coast,5.000,-5.921749600104203,37236
Gold Coast,10.000,-5.853493733395804,37236
Gold Coast,15.000,-5.7055215485286634,37236
Gold Coast,20.000,-4.55662707663318,37236
Gold Coast,25.000,-2.7245953413450597,37236
Gold Coast,30.000,0.33844893668100173,37236
Gold Coast,35.000,6.580223357161497,37236
Gold Coast,40.000,13.25969916530002,37236
Gold Coast,42.195,5.801939746232421,37236
Hamburg,5.000,-2.520168398894884,117569
Hamburg,10.000,-3.8308505884105393,117569
Hamburg,15.000,-4.213178511471738,117569
Hamburg,20.000,-2.7028138353624054,117569
Hamburg,25.000,-0.9802987861811219,117569
Hamburg,30.000,0.8699481865285019,117569
Hamburg,35.000,2.8613776223776144,117569
Hamburg,40.000,6.746148618033532,117569
Hamburg,42.195,4.362761145837424,117569
Helsinki,5.000,-1.0585466350355843,7853
Helsinki,10.000,-5.417553735926295,7853
Helsinki,15.000,-7.156168717047451,7853
Helsinki,20.000,-4.958112181136531,7853
Helsinki,25.000,-1.3729988882712707,7853
Helsinki,30.000,1.3060135135135154,7853
Helsinki,35.000,8.017034244927434,7853
Helsinki,40.000,5.859937694704054,7853
Helsinki,42.195,3.883774496451453,7853
London,5.000,-8.513915009041595,284671
London,10.000,-6.621945924610218,284671
London,15.000,-4.042453877464713,284671
London,20.000,-3.2775460717749727,284671
London,25.000,-0.8937453323375588,284671
London,30.000,2.3521611322808944,284671
London,35.000,7.391742627345832,284671
London,40.000,7.9181768107959405,284671
London,42.195,4.866955576751586,284671
Madrid,5.000,1.130767809295019,103749
Madrid,10.000,-8.42647246438445,103749
Madrid,15.000,-6.825487830838006,103749
Madrid,20.000,-5.0040235081374345,103749
Madrid,25.000,-6.222585821537052,103749
Madrid,30.000,1.674698795180718,103749
Madrid,35.000,2.2654128523520223,103749
Madrid,40.000,11.210243386243391,103749
Madrid,42.195,7.63694729615878,103749
Melbourne,5.000,-2.5963945446427217,416
Melbourne,10.000,-5.143351967952647,416
Melbourne,15.000,-5.6842520266504994,416
Melbourne,20.000,-4.450697137210385,416
Melbourne,25.000,-2.1393034630162457,416
Melbourne,30.000,-0.2026782091594681,416
Melbourne,35.000,5.2120903140222445,416
Melbourne,40.000,11.439595494747723,416
Melbourne,42.195,4.3525444737970265,416
New York,5.000,-6.907666352751512,761632
New York,10.000,-7.936715137039774,761632
New York,15.000,-6.080336954173099,761632
New York,20.000,-3.552573069769144,761632
New York,25.000,1.6616046494856374,761632
New York,30.000,0.6321388739482625,761632
New York,35.000,7.644475268018391,761632
New York,40.000,9.511069651741288,761632
New York,42.195,3.819724444805439,761632
Oslo,5.000,-1.9270333661194017,18911
Oslo,10.000,-6.7618940248027055,18911
Oslo,15.000,-3.9647849462365548,18911
Oslo,20.000,-3.0542398074745014,18911
Oslo,25.000,-1.411612223393044,18911
Oslo,30.000,-0.14748538806579337,18911
Oslo,35.000,3.414409287502851,18911
Oslo,40.000,8.899670352310984,18911
Oslo,42.195,6.712518805581191,18911
Paris,5.000,-5.16087690951581,99970
Paris,10.000,-4.999986239611209,99970
Paris,15.000,-4.336694635405092,99970
Paris,20.000,-3.9674736086122318,99970
Paris,25.000,-2.713519953614707,99970
Paris,30.000,1.0966167866149457,99970
Paris,35.000,5.892713656330062,99970
Paris,40.000,10.515713093590417,99970
Paris,42.195,3.196377308117948,99970
Prague,5.000,9.770677222658776,26332
Prague,10.000,-8.547384302924494,26332
Prague,15.000,-7.493404290730259,26332
Prague,20.000,-6.078119114561387,26332
Prague,25.000,-4.856642791206794,26332
Prague,30.000,-1.0109328218096958,26332
Prague,35.000,3.672983810896613,26332
Prague,40.000,9.788920504135302,26332
Prague,42.195,2.7707738334523113,26332
Rotterdam,5.000,-4.582250028309376,139923
Rotterdam,10.000,-5.383274745605904,139923
Rotterdam,15.000,-4.537756628144118,139923
Rotterdam,20.000,-3.7361165840070654,139923
Rotterdam,25.000,-1.3861856033874465,139923
Rotterdam,30.000,0.3946397623173947,139923
Rotterdam,35.000,4.614671985815599,139923
Rotterdam,40.000,10.12036875840785,139923
Rotterdam,42.195,5.725973835313258,139923
Singapore,5.000,-9.01504641244355,8877
Singapore,10.000,-9.84132050721469,8877
Singapore,15.000,-7.733895192496898,8877
Singapore,20.000,-1.7061696478479549,8877
Singapore,25.000,-1.011307360770708,8877
Singapore,30.000,4.357927461139899,8877
Singapore,35.000,6.397287789378114,8877
Singapore,40.000,12.525983833226984,8877
Singapore,42.195,4.005510400788781,8877
Stockholm,5.000,-5.3196207532262285,33825
Stockholm,10.000,-4.956889592402048,33825
Stockholm,15.000,-4.9383535221047765,33825
Stockholm,20.000,-3.6787688641779392,33825
Stockholm,25.000,-0.12429292929293512,33825
Stockholm,30.000,2.1106979533698222,33825
Stockholm,35.000,5.0076422422842715,33825
Stockholm,40.000,8.013172632091536,33825
Stockholm,42.195,3.3435776682686047,33825
Sydney,5.000,-7.643651321256439,11345
Sydney,10.000,-5.88020121590358,11345
Sydney,15.000,-6.854922108054362,11345
Sydney,20.000,-4.067705760630124,11345
Sydney,25.000,-3.6223330197554193,11345
Sydney,30.000,1.016859306496598,11345
Sydney,35.000,7.91497232741043,11345
Sydney,40.000,13.522469543436188,11345
Sydney,42.195,6.195358782999039,11345
Valencia,5.000,-1.4550614854894284,85809
Valencia,10.000,-2.913401643502067,85809
Valencia,15.000,-2.624213075060533,85809
Valencia,20.000,-2.5937691521961126,85809
Valencia,25.000,-1.1738808182626626,85809
Valencia,30.000,0.21077630993022733,85809
Valencia,35.000,3.416440129449838,85809
Valencia,40.000,5.095725009877516,85809
Valencia,42.195,1.330529268777414,85809
Vienna,5.000,-4.464675854107297,2546
Vienna,10.000,-3.720758901500665,2546
Vienna,15.000,-3.847878681062966,2546
Vienna,20.000,-1.0652472983909422,2546
Vienna,25.000,-2.801709912621125,2546
Vienna,30.000,-0.08903380983957265,2546
Vienna,35.000,4.488180344641901,2546
Vienna,40.000,8.007255642770717,2546
Vienna,42.195,4.576989136290733,2546
Warsaw,5.000,-2.772935999015896,23152
Warsaw,10.000,-3.9190332000141606,23152
Warsaw,15.000,-4.151038774558141,23152
Warsaw,20.000,-3.4032129077122053,23152
Warsaw,25.000,-2.4306532544073276,23152
Warsaw,30.000,0.6700770009369861,23152
Warsaw,35.000,4.669253783219829,23152
Warsaw,40.000,8.08272982840963,23152
Warsaw,42.195,3.452855303484781,23152
Washington,5.000,-5.871368742774491,213840
Washington,10.000,-8.455348575366223,213840
Washington,15.000,-6.377986617529569,213840
Washington,20.000,-6.059160996831664,213840
Washington,25.000,-2.660083802050334,213840
Washington,30.000,1.324128492031107,213840
Washington,35.000,7.085722251087856,213840
Washington,40.000,13.12429449920771,213840
Washington,42.195,10.01308277224926,213840
